iter	Passed	Remaining
413	3301	1570
414	3311	1563
415	3317	1555
416	3324	1546
417	3334	1539
418	3341	1530
419	3349	1523
420	3357	1515
421	3364	1506
422	3373	1499
423	3383	1492
424	3391	1484
425	3399	1476
426	3408	1468
427	3418	1461
428	3425	1453
429	3433	1445
430	3442	1437
431	3447	1428
432	3455	1420
433	3463	1412
434	3469	1403
435	3479	1396
436	3487	1388
437	3496	1381
438	3503	1372
439	3511	1364
440	3519	1356
441	3528	1349
442	3536	1341
443	3545	1333
444	3553	1325
445	3562	1317
446	3571	1310
447	3579	1302
448	3586	1294
449	3594	1285
450	3602	1278
451	3610	1270
452	3617	1261
453	3627	1254
454	3635	1246
455	3642	1238
456	3649	1229
457	3657	1221
458	3665	1213
459	3673	1205
460	3680	1197
461	3688	1189
462	3697	1181
463	3704	1173
464	3713	1165
465	3721	1158
466	3730	1150
467	3737	1142
468	3746	1134
469	3754	1126
470	3762	1118
471	3768	1109
472	3775	1101
473	3783	1093
474	3791	1085
475	3801	1078
476	3808	1069
477	3812	1060
478	3820	1052
479	3827	1044
480	3835	1036
481	3842	1028
482	3850	1020
483	3857	1012
484	3863	1003
485	3870	995
486	3878	987
487	3884	978
488	3891	970
489	3900	963
490	3908	955
491	3915	947
492	3924	939
493	3932	931
494	3940	923
495	3949	915
496	3956	907
497	3964	899
498	3971	891
499	3979	883
500	3991	876
501	4000	868
502	4006	860
503	4013	852
504	4020	843
505	4026	835
506	4032	827
507	4039	819
508	4048	811
509	4057	803
510	4065	795
511	4073	787
512	4081	779
513	4088	771
514	4095	763
515	4103	755
516	4112	747
517	4119	739
518	4126	731
519	4132	723
520	4140	715
521	4147	707
522	4156	699
523	4164	691
524	4172	683
525	4181	675
526	4189	667
527	4197	659
528	4205	651
529	4214	644
530	4223	636
531	4231	628
532	4238	620
533	4245	612
534	4253	604
535	4260	596
536	4269	588
537	4277	580
538	4286	572
539	4293	564
540	4302	556
541	4308	548
542	4316	540
543	4325	532
544	4333	524
545	4341	516
546	4350	508
547	4358	501
548	4367	493
549	4374	485
550	4382	477
551	4391	469
552	4397	461
553	4404	453
554	4414	445
555	4421	437
556	4429	429
557	4437	421
558	4445	413
559	4453	405
560	4461	397
561	4469	389
562	4476	381
563	4483	373
564	4489	365
565	4496	357
566	4505	349
567	4513	341
568	4520	333
569	4528	325
570	4536	317
571	4544	309
572	4551	301
573	4560	293
574	4569	286
575	4576	278
576	4584	270
577	4593	262
578	4601	254
579	4609	246
580	4617	238
581	4624	230
582	4632	222
583	4639	214
584	4648	206
585	4657	198
586	4666	190
587	4674	182
588	4682	174
589	4689	166
590	4698	158
591	4705	151
592	4713	143
593	4722	135
594	4730	127
595	4737	119
596	4744	111
597	4751	103
598	4757	95
599	4765	87
600	4773	79
601	4781	71
602	4787	63
603	4795	55
604	4803	47
605	4808	39
606	4816	31
607	4824	23
608	4830	15
609	4838	7
610	4847	0
