brand,product_name,clothing_type,fabric_composition,fiber_json,most_dominant_fiber,fs_bio_share,fs_biodeg_tier,source,country_of_brand,scraped_url,scraped_at,origin
Penshoppe,Essentials Made Heavy Relaxed T-Shirt,dress,"High Density Print Fabric: Interlock Material Composition: 70% Polyester 30% Cotton Model's Body Measurements Height: 5'10"" Chest: 3","{""polyester"": 70.0, ""cotton"": 30.0}",polyester,30.0,low,philippine,PH,https://www.penshoppe.com/products/essentials-made-heavy-relaxed-t-shirt-986710-ivory,2026-02-24T13:07:12.025923,live
Penshoppe,Dress Code Polo,dress,"Highlights Fit: Relaxed Fabric: Pique Material Composition: 50% Cotton 50% Polyester Model's Body Measurements Height: 5'11"" Chest","{""cotton"": 50.0, ""polyester"": 50.0}",cotton,50.0,medium,philippine,PH,https://www.penshoppe.com/products/dress-code-polo-984565-powder-blue,2026-02-24T13:07:14.665480,live
Penshoppe,Follow No Crowd Relaxed Fit T-Shirt,dress,"High Density Print Fabric: Interlock Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'10"" Chest: 3","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/products/follow-no-crowd-relaxed-fit-t-shirt-990813-sand,2026-02-24T13:07:16.827526,live
Penshoppe,Essentials Relaxed Pullover Sweatshirt,dress,"gh Density Print Fabric: French Terry Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'7"" Chest: 38","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/products/essentials-relaxed-pullover-sweatshirt-987041,2026-02-24T13:07:18.928721,live
Penshoppe,Relaxed Seersucker Resort Shirt,dress,"s Fit: Relaxed Fabric: Textured Weave Material Composition: 100% Polyester Model's Body Measurements Height: 5'11"" Chest: 34"" Waist: 2","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.penshoppe.com/collections/mens-tops/products/relaxed-seersucker-resort-shirt-991707-taupe,2026-02-24T13:07:21.004077,live
Penshoppe,Essentials T-Shirt,dress,"t Fabric: Jersey Knit (Single Jersey) Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'11"" Chest: 3","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/collections/mens-tops/products/essentials-t-shirt-982816-blue-stone,2026-02-24T13:07:22.936164,live
Penshoppe,Dress Code Textured Polo,dress,"ts Fit: Regular Fabric: Jacquard Knit Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 6'0"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/products/dress-code-textured-polo-989701-off-white,2026-02-24T13:07:27.129199,live
Penshoppe,Toronto Relaxed Graphic T-Shirt,dress,"nt Fabric: Jersey Knit (Heavy Jersey) Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 6'1"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/products/toronto-relaxed-graphic-t-shirt-992394-taupe,2026-02-24T13:07:31.763356,live
Penshoppe,Boxy Shirt with Embroidery,dress,"rint Fabric: Plain Weave (Linen-like) Material Composition: 100% Cotton Model's Body Measurements Height: 6'0"" Chest: 38"" Waist: 30","{""cotton"": 100.0}",cotton,100.0,high,philippine,PH,https://www.penshoppe.com/products/boxy-shirt-with-embroidery-991449-blush,2026-02-24T13:07:34.465746,live
Penshoppe,Short Sleeve Relaxed Shirt,dress,ls: Patch Pockets Fabric: Plain Weave Material Composition: 82% Cotton 16% Polyester 2% Spandex Model's Body Measurements Height:,"{""cotton"": 82.0, ""polyester"": 16.0, ""elastane"": 2.0}",cotton,82.0,medium,philippine,PH,https://www.penshoppe.com/collections/mens-shirts/products/short-sleeve-relaxed-shirt-991242-off-white,2026-02-24T13:07:54.820477,live
Penshoppe,Dress Code Shirt,dress,"ghts Fit: Regular Fabric: Plain Weave Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'11"" Chest","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/collections/mens-shirts/products/dress-code-shirt-992927-ivory,2026-02-24T13:07:57.999095,live
Penshoppe,Dress Code Long Sleeve Shirt,dress,"tails: Embroidery Fabric: Plain Weave Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 6'0"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/collections/mens-shirts/products/dress-code-long-sleeve-shirt-992928-powder-blue,2026-02-24T13:07:59.763851,live
Penshoppe,Penshoppe Relaxed Graphic T-Shirt,dress,"y Fabric: Jersey Knit (Single Jersey) Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'5"" Chest: 32","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-new-arrivals/products/penshoppe-relaxed-graphic-t-shirt-991779-powder-blue,2026-02-24T13:08:22.178845,live
